countries,cases,deaths,popData2018,cont
Afghanistan,1281,42,37172386.0,1
Albania,663,27,2866376.0,2
Algeria,3007,407,42228429.0,3
Andorra,724,37,77006.0,2
Angola,25,2,30809762.0,3
Antigua_and_Barbuda,24,3,96286.0,4
Argentina,3423,165,44494502.0,4
Armenia,1596,27,2951776.0,2
Aruba,100,2,105845.0,4
Australia,6667,75,24992369.0,5
Austria,14985,508,8847037.0,2
Azerbaijan,1548,20,9942334.0,2
Bahamas,72,11,385640.0,4
Bahrain,2217,8,1569439.0,1
Bangladesh,4186,127,161356039.0,1
Barbados,76,6,286641.0,4
Belarus,8022,60,9485386.0,2
Belgium,42797,6490,11422068.0,2
Belize,18,2,383071.0,4
Benin,58,1,11485048.0,3
Bermuda,99,5,63968.0,4
Bhutan,7,0,754394.0,1
Bolivia,703,43,11353142.0,4
Bosnia_and_Herzegovina,1413,53,3323929.0,2
Botswana,22,1,2254126.0,3
Brazil,49492,3313,209469333.0,4
British_Virgin_Islands,5,1,29802.0,4
Brunei_Darussalam,138,1,428962.0,1
Bulgaria,1097,52,7024216.0,2
Burkina_Faso,616,41,19751535.0,3
Burundi,11,1,11175378.0,3
Cambodia,122,0,16249798.0,1
Cameroon,1401,49,25216237.0,3
Canada,42099,2146,37058856.0,4
Cape_Verde,82,1,543767.0,3
Cayman_Islands,66,1,64174.0,4
Central_African_Republic,17,0,4666377.0,3
Chad,40,0,15477751.0,3
Chile,11812,168,18729160.0,4
China,83884,4636,1392730000.0,1
Colombia,4561,215,49648685.0,4
Congo,186,6,5244363.0,3
Costa_Rica,687,6,4999441.0,4
Cote_dIvoire,1004,14,25069229.0,3
Croatia,1981,50,4089400.0,2
Cuba,1235,43,11338138.0,4
Curaçao,14,1,159849.0,4
Cyprus,795,17,1189265.0,2
Czechia,7188,213,10625695.0,2
Democratic_Republic_of_the_Congo,394,25,84068091.0,3
Denmark,8073,394,5797446.0,2
Djibouti,986,2,958920.0,3
Dominica,16,0,71625.0,4
Dominican_Republic,5543,265,10627165.0,4
Ecuador,11183,560,17084357.0,4
Egypt,3659,276,98423595.0,3
El_Salvador,250,8,6420744.0,4
Equatorial_Guinea,84,1,1308974.0,3
Estonia,1592,45,1320884.0,2
